week,population,police,crime,emp,un,ymale,white,borough
1,158919,16384.584,367,0.69931257,0.055706903,0.07619147,0.71940374,1
2,158919,20565.234,447,0.67117232,0.048527505,0.087027185,0.62423885,1
3,158919,20941.768,455,0.67793506,0.061527666,0.070533462,0.64231122,1
4,158919,19848.916,435,0.66553849,0.068132237,0.091269724,0.56081074,1
5,158919,19617.018,392,0.56599742,0.081261672,0.059532747,0.52081382,1
6,158919,20575.85,409,0.65516323,0.060367372,0.052752685,0.65107507,1
7,158919,19566.066,438,0.63793564,0.074774444,0.10609662,0.76670098,1
8,158919,19435.666,412,0.61349183,0.046931159,0.03134032,0.58756179,1
9,158919,18220.217,436,0.64084208,0.041884463,0.079565823,0.46312574,1
10,158919,17314.416,422,0.6299116,0.056873627,0.047608454,0.6372568,1
11,158919,18409.166,419,0.61911047,0.079837143,0.07316041,0.6012876,1
12,158919,19100.1,418,0.60137135,0.056197092,0.044688657,0.5373885,1
13,158919,20154.25,487,0.64510328,0.068087108,0.087095805,0.63874418,1
14,158919,20167.051,462,0.72310507,0.045560144,0.061491754,0.73525661,1
15,158919,15750.833,339,0.69092172,0.042220645,0.095628053,0.61782062,1
16,158919,20398.783,458,0.66404653,0.067693651,0.10451576,0.56810844,1
17,158919,20448.35,418,0.59155923,0.06610468,0.088108346,0.53905362,1
18,158919,18443.633,407,0.57167757,0.085682981,0.064197108,0.49946806,1
19,158919,21055.1,479,0.67091739,0.078320242,0.037772071,0.64493662,1
20,158919,21094.084,472,0.62742692,0.077079095,0.096353926,0.68391377,1
21,158919,20486.133,486,0.56242853,0.058356091,0.050282869,0.55294615,1
22,158919,17331.383,386,0.60472542,0.044581994,0.073229983,0.51145262,1
23,158919,19908.5,433,0.71684551,0.04424214,0.060698837,0.68756562,1
24,158919,19843.5,475,0.61788952,0.064013727,0.06707073,0.59911919,1
25,158919,20280.416,434,0.58157659,0.081252471,0.047610667,0.52923638,1
26,158919,19941.25,426,0.62230229,0.074782841,0.069124758,0.58252966,1
27,158919,19903.516,431,0.69776106,0.086548977,0.072573297,0.71873838,1
28,158919,20231.467,453,0.66326606,0.046669848,0.083489619,0.62662351,1
29,158919,20166.1,462,0.63875693,0.09057565,0.11511809,0.61073929,1
30,158919,19405.383,459,0.5977726,0.092210479,0.077749558,0.57483274,1
31,158919,19027.033,409,0.57348573,0.071053177,0.061159603,0.49311814,1
32,158919,19214.717,457,0.67210543,0.052476224,0.061927587,0.59509999,1
33,158919,19459.949,387,0.64888042,0.07153599,0.079931073,0.70178562,1
34,158919,19184.666,413,0.6170693,0.039596375,0.076757252,0.50664622,1
35,158919,23761.666,575,0.5598107,0.074968822,0.080901317,0.45303288,1
36,158919,19539.518,446,0.67203814,0.093204223,0.064676009,0.6710189,1
37,158919,20132.166,408,0.61946815,0.048535202,0.056942701,0.60346693,1
38,158919,20178.199,365,0.5898661,0.064819887,0.041043859,0.52890062,1
39,158919,20065.834,355,0.63373351,0.075470194,0.060837023,0.64059561,1
40,158919,21703.133,419,0.65515685,0.053550482,0.078798927,0.6984868,1
41,158919,20564.9,365,0.65565103,0.044320066,0.074797213,0.61219299,1
42,158919,21314.25,431,0.59586132,0.05005106,0.10858886,0.63542008,1
43,158919,20070.85,436,0.58569276,0.067632399,0.078795321,0.54889745,1
44,158919,20008.533,404,0.62099999,0.08092732,0.061041214,0.58309716,1
45,158919,21428.65,375,0.65134686,0.053150121,0.074852392,0.5993914,1
46,158919,21484.016,411,0.67812878,0.048661761,0.059563924,0.68146485,1
47,158919,20533.184,360,0.56193399,0.061620049,0.098082051,0.47795951,1
48,158919,20674.133,411,0.54636639,0.071563095,0.095700972,0.48374867,1
49,158919,21592.283,374,0.66569591,0.10711912,0.061870076,0.65846765,1
50,158919,21156.867,379,0.62107736,0.053209368,0.077471375,0.65464461,1
51,158919,19916.234,345,0.61127037,0.062272087,0.048138086,0.54790461,1
52,158919,12392.816,253,0.64698261,0.046358746,0.053459845,0.59282815,1
53,158919,16398.5,357,0.67298371,0.030349223,0.067010313,0.70788437,1
54,158919,20273,372,0.65208113,0.04916402,0.080692269,0.62388384,1
55,158919,19394,361,0.64195549,0.040417861,0.10630701,0.66405112,1
56,158919,19299,321,0.61938369,0.04659437,0.084517866,0.51931936,1
57,158919,19517,334,0.68450433,0.068538636,0.073943071,0.62260175,1
58,158919,20135,315,0.66904235,0.065456145,0.059403159,0.63469881,1
59,158919,19071,344,0.68904299,0.041686688,0.054086559,0.66181529,1
60,158919,19264,329,0.5586049,0.064578645,0.10502589,0.46448115,1
61,158919,19608,378,0.54905766,0.056356799,0.086365521,0.5473181,1
62,158919,19137,351,0.66260928,0.081314422,0.069023244,0.62031287,1
63,158919,18635,344,0.61695355,0.057973143,0.084434368,0.63422441,1
64,158919,19739,423,0.62246311,0.046977293,0.062027551,0.62495685,1
65,158919,14166,352,0.64032477,0.033756003,0.051189203,0.62161279,1
66,158919,19057,383,0.64519536,0.044963654,0.071330324,0.68185025,1
67,158919,19495,382,0.6300441,0.073467962,0.078535035,0.62272459,1
68,158919,20395,385,0.62338924,0.049277369,0.079365566,0.68777764,1
69,158919,19770,404,0.60375774,0.050916068,0.092435412,0.50720227,1
70,158919,18014,372,0.64138424,0.067861743,0.091280736,0.56152153,1
71,158919,20823,406,0.63712907,0.057112206,0.059167009,0.5988602,1
72,158919,20023,399,0.66437417,0.050669871,0.051633731,0.66351771,1
73,158919,19568,372,0.54850787,0.053845864,0.084081426,0.49318081,1
74,158919,17416,422,0.53246802,0.042657234,0.10322872,0.55664617,1
75,158919,19565,371,0.66481161,0.069801912,0.088583194,0.61001921,1
76,158919,18953,376,0.57957906,0.091303304,0.066248648,0.59817332,1
77,158919,20011,390,0.6438694,0.033740617,0.07192912,0.62214452,1
78,158919,20439,432,0.67684662,0.04003863,0.074750096,0.59819621,1
79,158919,22670,442,0.62374711,0.030517194,0.086509302,0.68862265,1
80,158919,35070.801,410,0.58574724,0.062290676,0.05874905,0.63146234,1
